Seconds,Country,Latitude,Longitude
20.0,3,53.2,-2.916667
20.0,4,28.9783333,-96.6458333
30.0,4,35.8238889,-80.2536111
60.0,4,45.5827778,-122.3522222
3.0,3,51.783333,-0.783333
30.0,4,29.4238889,-98.4933333
30.0,4,38.2541667,-85.7594444
60.0,4,29.7630556,-95.3630556
20.0,4,41.0338889,-73.7633333
60.0,4,40.015,-105.27
2.0,4,47.6063889,-122.3308333
60.0,4,46.7163889,-122.9530556
10.0,4,29.6158333,-95.5575
60.0,4,35.8905556,-83.7247222
30.0,4,32.7591667,-97.7969444
8.0,4,40.6936111,-89.5888889
60.0,4,36.2522222,-85.9516667
5.0,4,34.1027778,-91.9922222
60.0,4,37.8044444,-122.2697222
3.0,4,39.0725,-93.7169444
60.0,4,39.4402778,-84.3622222
30.0,4,33.4222222,-111.8219444
15.0,4,33.4483333,-112.0733333
2.0,4,35.5847222,-80.8102778
15.0,4,35.265,-84.5533333
10.0,4,32.7833333,-96.8
45.0,4,46.2113889,-119.1361111
10.0,4,26.525,-80.0666667
30.0,1,46.216667,-63.483333
5.0,4,38.9988889,-84.6266667
10.0,4,47.6063889,-122.3308333
60.0,4,47.5405556,-122.635
60.0,4,33.4483333,-112.0733333
30.0,4,36.8527778,-75.9783333
43.0,4,46.0130556,-91.4844444
5.0,4,44.5402778,-123.3663889
15.0,4,42.9897222,-116.0925
5.0,4,39.4666667,-87.4138889
15.0,4,39.7683333,-86.1580556
10.0,4,39.6294444,-79.9561111
60.0,4,38.9516667,-92.3338889
60.0,4,47.6063889,-122.3308333
30.0,4,33.415,-111.5488889
10.0,4,34.0522222,-118.2427778
10.0,4,34.8761111,-83.9583333
30.0,4,30.3319444,-81.6558333
3.0,4,30.2669444,-97.7427778
60.0,4,33.5394444,-83.8194444
30.0,4,27.6383333,-80.3975
35.0,4,29.7630556,-95.3630556
4.0,4,33.4213889,-96.5769444
15.0,4,39.8855556,-104.9866667
45.0,4,42.6525,-73.7566667
60.0,4,37.5483333,-121.9875
10.0,4,43.8280556,-91.3038889
60.0,4,39.9522222,-75.1641667
30.0,4,32.7152778,-117.1563889
20.0,4,43.0730556,-89.4011111
60.0,4,40.4797222,-84.6283333
60.0,4,38.8697222,-106.9872222
6.0,4,36.1538889,-95.9925
15.0,4,38.7891667,-77.1875
60.0,4,31.4636111,-100.4366667
5.0,4,41.8525,-72.6441667
30.0,4,47.9791667,-122.2008333
10.0,4,42.6525,-73.7566667
60.0,4,42.0963889,-79.3758333
40.0,4,41.55,-71.4666667
5.0,4,41.35,-72.0788889
4.0,1,43.25,-79.833333
60.0,4,41.4819444,-81.7983333
15.0,4,39.9625,-76.7280556
3.0,4,41.1238889,-100.765
20.0,4,38.8338889,-104.8208333
6.0,4,37.3394444,-121.8938889
20.0,4,41.1147222,-74.15
5.0,4,33.7397222,-116.4119444
5.0,4,28.0777778,-82.7638889
10.0,1,45.416667,-75.7
60.0,4,40.9780556,-81.7822222
5.0,4,42.7647222,-71.4402778
60.0,4,44.7791667,-93.3361111
45.0,4,42.4775,-83.0277778
45.0,4,39.1611111,-80.3522222
1.0,4,42.7647222,-71.4402778
20.0,0,-23.697479,133.883621
30.0,4,44.9133333,-93.5030556
60.0,4,38.3708333,-90.5002778
4.0,4,33.9533333,-117.3952778
60.0,4,36.6336111,-81.7838889
10.0,4,36.5452778,-82.6611111
30.0,4,44.3875,-68.2044444
4.0,4,38.4088889,-121.3705556
10.0,4,45.2630556,-122.6913889
6.0,1,45.333333,-80.033333
30.0,4,42.0386111,-78.3411111
30.0,4,42.0386111,-78.3411111
60.0,4,42.0386111,-78.3411111
60.0,4,42.0386111,-78.3411111
2.0,4,40.9730556,-117.7347222
45.0,4,42.1947222,-122.7083333
3.0,3,51.514125,-0.093689
30.0,4,43.9747222,-75.9111111
30.0,4,38.7138889,-121.4616667
60.0,4,39.2191667,-121.06
6.0,4,37.2152778,-93.2980556
3.0,4,32.7833333,-96.8
5.0,4,43.6666667,-92.9744444
3.0,4,39.3280556,-120.1822222
40.0,4,43.4197222,-85.8
10.0,4,40.0991667,-104.9366667
3.0,4,21.3069444,-157.8583333
20.0,4,34.0522222,-118.2427778
20.0,4,44.9194444,-123.3158333
15.0,4,37.3394444,-121.8938889
60.0,4,35.1186111,-120.5897222
3.0,4,33.4147222,-111.9086111
10.0,4,42.2711111,-95.0927778
13.0,4,36.1658333,-86.7844444
5.0,3,51.816667,-1.283333
3.0,4,34.2241667,-118.2391667
60.0,4,36.3955556,-97.8780556
60.0,4,35.5361111,-100.9594444
10.0,4,47.6063889,-122.3308333
3.0,4,25.9013889,-97.4972222
20.0,4,35.6708333,-80.4744444
60.0,4,33.9533333,-117.3952778
30.0,4,26.1416667,-81.795
30.0,4,34.0522222,-118.2427778
5.0,1,47.55,-52.666667
20.0,4,42.3713889,-83.4702778
3.0,4,26.7052778,-80.0366667
15.0,4,41.9666667,-71.55
60.0,4,34.1361111,-117.8644444
5.0,4,33.0416667,-116.8672222
15.0,4,37.5958333,-122.0180556
8.0,4,37.6775,-113.0611111
30.0,4,33.9133333,-78.3041667
4.0,4,42.2625,-71.8027778
2.0,4,42.6105556,-71.2347222
60.0,4,41.2052778,-76.0052778
10.0,4,47.3525,-121.9825
60.0,4,40.155,-74.8291667
30.0,4,33.4483333,-112.0733333
45.0,4,41.6572222,-87.68
4.0,4,43.4194444,-83.9508333
15.0,4,26.8230556,-80.1388889
60.0,4,44.4905556,-73.1113889
60.0,4,39.1619444,-84.4569444
60.0,4,42.4736111,-72.0066667
60.0,4,45.3561111,-92.6333333
60.0,4,41.88,-88.0077778
10.0,4,40.8758333,-81.4025
2.0,4,42.4566667,-83.9463889
60.0,4,38.7230556,-80.65
10.0,4,40.9166667,-74.1722222
60.0,4,39.7338889,-90.2288889
30.0,4,36.0688889,-79.4008333
60.0,4,42.1083333,-91.285
30.0,4,38.8922222,-89.4130556
10.0,4,44.98,-93.2636111
2.0,4,46.4736111,-93.8986111
60.0,4,40.5763889,-124.2627778
10.0,4,42.8863889,-78.8786111
30.0,4,37.5483333,-121.9875
20.0,4,34.1469444,-86.1305556
20.0,4,42.5611111,-71.5902778
45.0,4,34.2572222,-118.6002778
10.0,4,40.0638889,-80.7211111
10.0,4,26.7052778,-80.0366667
10.0,4,38.6172222,-121.3272222
20.0,4,44.8830556,-68.6725
